Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,5,0.61,0.31,0.36834047512693247
100% Corpus,5,0.61,0.61,0.3867164632054545
100% Corpus,5,0.61,0.9099999999999999,0.4144835738508106
100% Corpus,5,0.61,symmetric,0.37613209466874703
100% Corpus,5,0.9099999999999999,0.01,0.3616025993707071
100% Corpus,5,0.9099999999999999,0.31,0.3829047845366491
100% Corpus,5,0.9099999999999999,0.61,0.37450390151774937
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.3706794979577645
100% Corpus,5,0.9099999999999999,symmetric,0.3719512491339102
100% Corpus,5,symmetric,0.01,0.39413254714414847
100% Corpus,5,symmetric,0.31,0.4021817409223777
100% Corpus,5,symmetric,0.61,0.39015563123173413
100% Corpus,5,symmetric,0.9099999999999999,0.41008227557296983
100% Corpus,5,symmetric,symmetric,0.38776241037617026
100% Corpus,5,asymmetric,0.01,0.3647024812370658
100% Corpus,5,asymmetric,0.31,0.4056496849158099
100% Corpus,5,asymmetric,0.61,0.4119056209311984
100% Corpus,5,asymmetric,0.9099999999999999,0.42776320549520264
100% Corpus,5,asymmetric,symmetric,0.35645077685018933
100% Corpus,6,0.01,0.01,0.3493457137894345
100% Corpus,6,0.01,0.31,0.33685008841448566
100% Corpus,6,0.01,0.61,0.39871624816673407
100% Corpus,6,0.01,0.9099999999999999,0.41663379167937764
100% Corpus,6,0.01,symmetric,0.33792742340864135
100% Corpus,6,0.31,0.01,0.3523199646806303
100% Corpus,6,0.31,0.31,0.36654095146307836
100% Corpus,6,0.31,0.61,0.40251606087365155
100% Corpus,6,0.31,0.9099999999999999,0.4515564684209527
100% Corpus,6,0.31,symmetric,0.3549468378413428
100% Corpus,6,0.61,0.01,0.3710448445690457
100% Corpus,6,0.61,0.31,0.3789261938034006
100% Corpus,6,0.61,0.61,0.4177204605842398
100% Corpus,6,0.61,0.9099999999999999,0.42039657542567843
100% Corpus,6,0.61,symmetric,0.3662165735239946
100% Corpus,6,0.9099999999999999,0.01,0.3782830745375894
100% Corpus,6,0.9099999999999999,0.31,0.3512387174643971
100% Corpus,6,0.9099999999999999,0.61,0.37934099398594706
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.35996034844106495
100% Corpus,6,0.9099999999999999,symmetric,0.3581418131452785
100% Corpus,6,symmetric,0.01,0.3393638558882233
100% Corpus,6,symmetric,0.31,0.35256849878877544
100% Corpus,6,symmetric,0.61,0.38812898561629794
100% Corpus,6,symmetric,0.9099999999999999,0.44512176633863726
100% Corpus,6,symmetric,symmetric,0.34696957210126306
100% Corpus,6,asymmetric,0.01,0.377676783590857
100% Corpus,6,asymmetric,0.31,0.43460597178918525
100% Corpus,6,asymmetric,0.61,0.45637174852968215
100% Corpus,6,asymmetric,0.9099999999999999,0.42144459776969606
100% Corpus,6,asymmetric,symmetric,0.37373594402024607
100% Corpus,7,0.01,0.01,0.3679553356995184
100% Corpus,7,0.01,0.31,0.36915222450164414
100% Corpus,7,0.01,0.61,0.38295458234987007
100% Corpus,7,0.01,0.9099999999999999,0.3745488279448314
100% Corpus,7,0.01,symmetric,0.3696270879598999
100% Corpus,7,0.31,0.01,0.34300205486390295
100% Corpus,7,0.31,0.31,0.36940310925801256
100% Corpus,7,0.31,0.61,0.4192039387376294
100% Corpus,7,0.31,0.9099999999999999,0.42931378859617286
100% Corpus,7,0.31,symmetric,0.34508053430927393
100% Corpus,7,0.61,0.01,0.3656762917450672
100% Corpus,7,0.61,0.31,0.3846703686898253
100% Corpus,7,0.61,0.61,0.36673230291672
100% Corpus,7,0.61,0.9099999999999999,0.4073608947875697
100% Corpus,7,0.61,symmetric,0.3619085803782509
100% Corpus,7,0.9099999999999999,0.01,0.3636607144685569
100% Corpus,7,0.9099999999999999,0.31,0.3641849072688493
100% Corpus,7,0.9099999999999999,0.61,0.35103880128483583
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.33570679905014655
100% Corpus,7,0.9099999999999999,symmetric,0.3511666908108757
100% Corpus,7,symmetric,0.01,0.3577476860966363
100% Corpus,7,symmetric,0.31,0.37652943667881383
100% Corpus,7,symmetric,0.61,0.3956466057367588
100% Corpus,7,symmetric,0.9099999999999999,0.40177582109382526
100% Corpus,7,symmetric,symmetric,0.3722082243033528
100% Corpus,7,asymmetric,0.01,0.35249757269335225
100% Corpus,7,asymmetric,0.31,0.41611775897848463
100% Corpus,7,asymmetric,0.61,0.4445952939832735
100% Corpus,7,asymmetric,0.9099999999999999,0.366880932213174
100% Corpus,7,asymmetric,symmetric,0.3596968669185077
100% Corpus,8,0.01,0.01,0.3435290413059121
100% Corpus,8,0.01,0.31,0.36826334735446786
100% Corpus,8,0.01,0.61,0.40324700582809325
100% Corpus,8,0.01,0.9099999999999999,0.42333971573265805
100% Corpus,8,0.01,symmetric,0.3561435394794963
100% Corpus,8,0.31,0.01,0.3684094004962127
100% Corpus,8,0.31,0.31,0.39809947626429354
100% Corpus,8,0.31,0.61,0.39506760112329786
100% Corpus,8,0.31,0.9099999999999999,0.4129008459850258
100% Corpus,8,0.31,symmetric,0.3764900071405545
100% Corpus,8,0.61,0.01,0.3525468313861184
100% Corpus,8,0.61,0.31,0.39478622141326203
100% Corpus,8,0.61,0.61,0.38620697827176675
100% Corpus,8,0.61,0.9099999999999999,0.4117206822677729
100% Corpus,8,0.61,symmetric,0.37390706665626583
100% Corpus,8,0.9099999999999999,0.01,0.3667522780845746
100% Corpus,8,0.9099999999999999,0.31,0.38495797939196147
100% Corpus,8,0.9099999999999999,0.61,0.35151642419240936
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.3686653178365089
100% Corpus,8,0.9099999999999999,symmetric,0.3726547095131649
100% Corpus,8,symmetric,0.01,0.36932820748966
100% Corpus,8,symmetric,0.31,0.34700159870507474
100% Corpus,8,symmetric,0.61,0.4003202872577303
100% Corpus,8,symmetric,0.9099999999999999,0.42398885132210135
100% Corpus,8,symmetric,symmetric,0.3611290301700265
100% Corpus,8,asymmetric,0.01,0.3828458527092569
100% Corpus,8,asymmetric,0.31,0.3733118220274485
100% Corpus,8,asymmetric,0.61,0.442826143151485
100% Corpus,8,asymmetric,0.9099999999999999,0.3930267581110145
100% Corpus,8,asymmetric,symmetric,0.3591082766014351
100% Corpus,9,0.01,0.01,0.3530601123309667
100% Corpus,9,0.01,0.31,0.37259374378340665
100% Corpus,9,0.01,0.61,0.37035341181311615
100% Corpus,9,0.01,0.9099999999999999,0.4240978685425809
100% Corpus,9,0.01,symmetric,0.369208656050916
100% Corpus,9,0.31,0.01,0.36467090750037945
100% Corpus,9,0.31,0.31,0.3890542126497824
